seed,n,m,target_r,delta,method,tau,neff,lambda_hat,achieved_risk_test,slack,utility,violation,runtime_fit_ratio,runtime_crc,severity,n_cal
0,1000,500,0.1,0.1,learned+clip,20.0,983.1857053523175,0.99,1.153,1.143181061343167,0.0,1.053,0.0018140470019716304,0.0020337390014901757,0.0,1000
0,1000,500,0.1,0.1,learned+clip,50.0,983.1857053523175,0.99,1.153,1.1776221721974782,0.0,1.053,0.0018663880000531208,0.0019440770010987762,0.0,1000
0,1000,500,0.1,0.1,naive-learned-no-split,1.0,967.4650718468056,0.99,1.153,1.1217413461236045,0.0,1.053,0.002083375002257526,0.0015775530009705108,0.0,1000
0,2000,500,0.1,0.1,uniform,1.0,2000.0,0.99,1.1675,1.0900063483953248,0.0,1.0675,9.728999430080876e-06,0.0020407230003911536,0.0,2000
0,2000,500,0.1,0.1,oracle,1.0,2000.0,0.99,1.1675,1.0900063483953248,0.0,1.0675,3.707002178998664e-06,0.0022759249986847863,0.0,2000
0,2000,500,0.1,0.1,oracle+clip,1.0,2000.0,0.99,1.1675,1.0900063483953248,0.0,1.0675,1.016999885905534e-05,0.0020757599995704368,0.0,2000
0,2000,500,0.1,0.1,oracle+clip,2.0,2000.0,0.99,1.1675,1.0905819946685733,0.0,1.0675,1.119099761126563e-05,0.0018606769990583416,0.0,2000
0,2000,500,0.1,0.1,oracle+clip,5.0,2000.0,0.99,1.1675,1.092308933488319,0.0,1.0675,1.1772997822845355e-05,0.0023547759992652573,0.0,2000
0,2000,500,0.1,0.1,oracle+clip,10.0,2000.0,0.99,1.1675,1.0951871648545615,0.0,1.0675,1.2043001333950087e-05,0.002301585001987405,0.0,2000
0,2000,500,0.1,0.1,oracle+clip,20.0,2000.0,0.99,1.1675,1.1009436275870466,0.0,1.0675,1.0910996934399009e-05,0.002370346999668982,0.0,2000
0,2000,500,0.1,0.1,oracle+clip,50.0,2000.0,0.99,1.1675,1.1182130157845018,0.0,1.0675,1.1170999641763046e-05,0.0020801190003112424,0.0,2000
0,2000,500,0.1,0.1,learned,1.0,1915.8871101143552,0.99,1.1675,1.090773145858611,0.0,1.0675,0.0019956959986302536,0.002045321998593863,0.0,2000
0,2000,500,0.1,0.1,learned+clip,1.0,1974.0673915846785,0.99,1.1675,1.0904960965175645,0.0,1.0675,0.0025550919999659527,0.0022213999982341193,0.0,2000
0,2000,500,0.1,0.1,learned+clip,2.0,1915.8871101143552,0.99,1.1675,1.0913416767131527,0.0,1.0675,0.0021567260009760503,0.002116439001838444,0.0,2000
0,2000,500,0.1,0.1,learned+clip,5.0,1915.8871101143552,0.99,1.1675,1.0930472692767783,0.0,1.0675,0.0022608559993386734,0.002130806002242025,0.0,2000
